row ID,row m/z,row retention time,20250417_fuzi_MeOH_1000ppm_ddms40.mzML Peak area
238,522.2542885,7.5766554,70151.03
239,558.3056054,7.5766554,55997.83
240,602.2953926,7.5766554,42233.383
241,442.3370525,7.647222,38553.688
242,556.2899107,7.677677,31895.113
243,584.3210285,7.677677,252119
244,544.3265331,7.7167826,57841.055
245,614.2946471,7.778046,63293.96
246,226.1797113,7.816935,186101.38
247,244.1903346,7.816935,116403.92
248,249.1480089,7.847227,30536.094
249,267.1587544,7.847227,26590.63
250,394.2250548,7.847227,77833.78
251,684.2494446,7.847227,46881.797
252,572.3203977,7.881122,2176103
253,195.1375106,7.910539,108676.37
254,277.2156206,7.910539,228574.95
255,295.2260943,7.910539,523150.2
256,348.2733847,7.910539,646154.25
257,353.2287816,7.910539,143873.81
258,646.320331,7.910539,121975.26
259,616.3099439,7.939742,6419893.5
260,700.2731598,7.939742,4912231.5
261,348.2733983,8.041056,250135.64
262,568.3257828,8.041056,88238.82
263,600.3160193,8.104703,268116.22
264,309.2055193,8.144077,36271.797
265,367.2472401,8.275961,34143.797
266,628.3108735,8.275961,255896.08
267,614.3317356,8.345817,26553.996
268,476.2769399,8.385175,19219.846
269,614.332372,8.4156475,63628.84
270,760.3893796,8.4156475,63951.32
271,550.2848211,8.446245,30679.453
272,730.3784465,8.446245,56894.926
273,823.4098315,8.484638,250668.69
274,840.4361384,8.484638,85592.63
275,427.3635495,8.514743,113166.97
276,195.1376662,8.579494,43255.844
277,295.2263563,8.579494,64757.6
278,630.3260475,8.579494,771034.8
279,684.2789426,8.609181,747345.7
280,353.2291727,8.677817,19748.875
281,449.2132715,8.708002,25611.002
282,664.3105687,8.708002,39746.324
283,198.1850315,8.738408,27990.305
284,158.1537834,8.768702,180654.64
285,353.2295737,8.805809,23765.004
286,249.2056167,8.836304,46308.074
287,228.1954614,8.866781,124859.68
288,728.3054623,8.866781,49278.992
289,429.3792425,8.905719,95873.734
290,536.3341649,8.905719,25453.309
291,211.0862551,8.936125,24716.562
292,275.2002291,8.970517,38157.25
293,744.3938177,8.970517,338746.3
294,240.231535,9.00026,52228.32
295,343.2946778,9.00026,540980.25
296,476.2762429,9.00026,46480.61
297,668.283865,9.029935,1285410.4
298,536.3337991,9.098112,263297.75
299,279.0927498,9.136667,679281.4
300,478.3367983,9.136667,130177.555
301,291.1949622,9.196969,107609.39
302,301.2845011,9.227262,67286.305
303,536.3339799,9.257409,183619.97
304,219.1867994,9.292057,40225.56
305,534.3188076,9.292057,38316.8
306,552.3289223,9.292057,44057.746
307,478.3370631,9.326746,67688.4
308,352.2509987,9.35686,240900.17
309,552.3291911,9.396237,59562.453
310,450.2693033,9.426557,46032.63
311,221.1534127,9.495981,28577.617
312,450.2691184,9.526305,39104.555
313,455.2248804,9.526305,12053.58
314,552.3291719,9.526305,105079.586
315,534.3186987,9.560817,43350.785
316,770.3155568,9.590406,2062086.8
317,272.2579296,9.624599,123169.11
318,433.2346637,9.624599,56899.562
