row ID,row m/z,row retention time,Peak area,Standards Identification,SMILES,True Type,Unnamed: 7,D Score,MD Score,type
49,533.3104858,9.22,147000000,DA30_pimelea factor S7 (TDPE-5),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C(C)C(=O)C(O)(C(O)C7(CO)OC7C3C1O5)C64)O2,MD,,20,19,MD
50,549.3053894,5.42,32900000,DA37_daphnepedunin H (TDPE-42),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C(C(C)C(=O)O)C3C(=O)C(O)C3(CO)OC3C4C1O5)O2,MD,,8,19,MD
51,483.2007141,4.5,2810000000,DA01_daphnetoxin (DPSft-28),C=C(C)C12CC(C)C34OC(c5ccccc5)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,,15,0,D
52,603.2209473,6.68,2260000000,DA10_genkwadaphnin (DPSft-21),C=C(C)C12OC3(c4ccccc4)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)c1ccccc1,D,,10,0,D
53,609.2678223,8.32,5380000000,DA12_genkwanine H (DPSft-2),C=C(C)C12CC(C)C34OC(c5ccccc5)(OC1C3C(O)C(O)(COC(=O)c1ccccc1)C(O)C1(O)C(O)C(C)CC14)O2,D,,22,0,D
54,655.2536621,8.64,4360000000,DA20_mezereine (DPSft-16),C=C(C)C12OC3(c4ccccc4)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=CC=Cc1ccccc1,D,,14,0,D
55,833.3741455,7.98,105000000,DA54_stelleralide F (DPSft-11),C=C(C)C12CC(COC(C)=O)C34OC5(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)C(C(C)CC(OC(=O)c3ccccc3)CCCCC5O)C14)O2,MD,,25,26,MD
56,591.2587585,8.39,4030000000,DA08_genkwanine M (DPSft12),C=C(C)C12CC(C)C34OC(c5ccccc5)(OC1C3C1OC1(COC(=O)c1ccccc1)C(O)C1(O)C(O)C(C)CC14)O2,D,,6,0,D
57,547.3265991,12.7,2880000000,DA05_daphnepedunin I (TDPE-60),C=C(C)C12CC(C)C34OC(CCCCCCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,,14,0,D
58,591.2589569,8.75,206000000,DA07_genkwanine N (Dpsft15),C=C(C)C12CC(C)C34OC(c5ccccc5)(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)CC14)O2,D,,19,0,D
59,603.3528,8.72,68400639.45,DA11_wikstroelide M (NSC-8),C=C(C)C1(O)CC(C)C2(O)C(C1OC(=O)C=CC=CCCCCCCCCC)C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC12,D,,14,0,D
60,615.3154,7.43,40637896.57,DA14_stelleralide K (NSC-5),C=C(C)C1(O)C(OC(C)=O)C(C)C2(O)C(C3OC3(CO)C(O)C3(O)C(=O)C(C)=CC32)C1OC(=O)C=CC=CCCCCCCC,D,,12,0,D
61,635.3198,9.15,474013707.4,DA19_daphneodorin H (DOSO-H),C=C(C)C1(O)CC(C)C2(O)C(C1O)C1OC3(C(OC(=O)C=CC=CC=CCCC)C(C)CC23)C(O)C1(O)COC(=O)c1ccccc1,D,,10,0,D
62,719.3047,5.4,431219695,DA28_daphneodorin F (DOL-U),C=C(C)C1(O)C(OC(=O)C=Cc2ccc(O)c(OC)c2)C(C)C2(O)C(C3OC3(CO)C(O)C3(O)C(=O)C(C)=CC32)C1OC(=O)C=CC=CC=CCCC,D,,8,0,D
63,531.2954,10.46,390000,DA41_wikstroelide F (TDPE-20),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCCCC(C)C6C(C)C(=O)C(O)(C(O)C7(CO)OC7C3C1O5)C64)O2,MD,no,17,15,MD
64,545.2744,10.5,450000,DA43_stelleralide C (TDPE-29),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCCCC(C)C6C3C3(OC6(C)OC3=O)C(O)C3(CO)OC3C4C1O5)O2,MD,no,8,28,MD
65,545.2741,10.68,8600000,DA44_daphnepedunin E (TDPE-28),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCCCC(C)C6C3C3(OC6(C)OC3=O)C(O)C3(CO)OC3C4C1O5)O2,MD,,0,6,MD
66,547.2899,5.51,2800000,DA45_daphnepedunin D (TDPE-11),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCC(O)CC(C)C6C(C)C(=O)C(O)(C(O)C7(CO)OC7C3C1O5)C64)O2,MD,no,32,19,MD
67,615.3157,10.24,4800000,DA46_edgeworthianin F (ECF-7),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C6C7(OC5(C)OC7=O)C(O)C5(CO)OC5C(C1O3)C6(O4)C(COC(=O)C(C)C)C2O,MD,,0,6,MD
68,643.3461,11.04,15000000,DA47_edgeworthianin E (ECH-2),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C(C)C(=O)C6(O)C(O)C7(CO)OC7C(C1O3)C(O4)(C(COC(=O)C(C)C)C2OC(C)=O)C56,MD,no,13,24,MD
69,657.3252,11.65,42000000,DA48_edgeworthianin B (ECH-4),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C6C7(OC5(C)OC7=O)C(O)C5(CO)OC5C(C1O3)C6(O4)C(COC(=O)C(C)C)C2OC(C)=O,MD,,8,12,MD
70,657.3262,12.31,4300000,DA49_edgeworthianin G (ECH-6),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C6C7(OC5(C)OC7=O)C(O)C5(CO)OC5C(C1O3)C6(O4)C(COC(=O)C(C)CC)C2OC(C)=O,MD,,0,12,MD
71,653.3317,9.57,10000000,DA50_stelleralide H (WLI-j),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(OC1C3C1OC1(COC(=O)c1ccccc1)C(O)C1(O)C(O)C(C)C(C(C)CCCCCCC5O)C14)O2,MD,,6,11,MD
72,653.331,10.24,110000000,DA51_gnidimacrin (DOSO-B),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)C(C(C)CCCCCCC5O)C14)O2,MD,,17,21,MD
73,657.3254,12.13,47000000,DA52_edgeworthianin C (ECH-5),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C6C7(OC5(C)OC7=O)C(O)C5(CO)OC5C(C1O3)C6(O4)C(COC(=O)c1ccccc1)C2OC(C)=O,MD,,7,14,MD
74,665.2947,10.94,14000000,DA53_daphnepedunin F (TDPE-39),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCC(OC(=O)c6ccccc6)CC(C)C6C3C3(OC6(C)OC3=O)C(O)C3(CO)OC3C4C1O5)O2,MD,,10,8,MD
75,711.337,7.98,110000000,DA54_stelleralide F (DPSft-11),C=C(C)C12CC(COC(C)=O)C34OC5(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)C(C(C)CC(OC(=O)c3ccccc3)CCCCC5O)C14)O2,MD,,25,25,MD
76,773.3517,10.15,11000000,DA55_stelleralide G (WIS-12),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)C(C(C)CC(OC(=O)c3ccccc3)CCCCC5O)C14)O2,MD,,16,21,MD
77,893.3734,8.95,5200000,DA56_daphneodorin A (DOSO-K),C=C(C)C12CC(COC(C)=O)C34OC5(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)C(C(C)CC(OC(=O)c3ccccc3)C(OC(=O)c3ccccc3)CCCC5O)C14)O2,MD,no,39,22,MD
78,951.3799,8.18,48000000,DA57_daphneodorin B (DOSO-E),C=C(C)C12CC(COC(C)=O)C34OC5(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)C(C(C)CC(OC(=O)c3ccccc3)C(OC(C)=O)C(OC(=O)c3ccccc3)CCC5O)C14)O2,MD,,24,13,MD
79,951.3797,7.61,470000,DA58_daphneodorin C (DOL-E2),C=C(C)C12CC(COC(C)=O)C34OC5(OC1C3C1OC1(COC(=O)c1ccccc1)C(O)C1(O)C(O)C(C)C(C(C)CC(OC(=O)c3ccccc3)C(OC(C)=O)C(OC(=O)c3ccccc3)CCC5O)C14)O2,MD,no,24,13,MD
80,675.3157,7.99,780000000,DA25_daphneodorin G (DOSO-Q),C=C(C)C1(O)C(OC(=O)C=Cc2ccccc2)C(C)C2(O)C(C3OC3(CO)C(O)C3(O)C(=O)C(C)=CC32)C1OC(=O)C=CC=CCCCCC,D,,12,0,D
