row ID,row m/z,row retention time,Peak area,Standards Identification,SMILES,True Type,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak
60,615.3154,7.4,40637896.57,DA14_stelleralide K (NSC-5),C=C(C)C1(O)C(OC(C)=O)C(C)C2(O)C(C3OC3(CO)C(O)C3(O)C(=O)C(C)=CC32)C1OC(=O)C=CC=CCCCCCCC,D,12,0,D,C34H46O10,possibly known,"yuahualine, std_wikstroelide H (DA13), genkwadane D",[M+H-H2O]+,"13, 60"
61,635.3198,9.2,474013707.4,DA19_daphneodorin H (DOSO-H),C=C(C)C1(O)CC(C)C2(O)C(C1O)C1OC3(C(OC(=O)C=CC=CC=CCCC)C(C)CC23)C(O)C1(O)COC(=O)c1ccccc1,D,10,0,D,C37H46O9,possibly known,acutilonine F,[M+H-H2O]+,"29, 61"
62,719.3047,5.4,431219695,DA28_daphneodorin F (DOL-U),C=C(C)C1(O)C(OC(=O)C=Cc2ccc(O)c(OC)c2)C(C)C2(O)C(C3OC3(CO)C(O)C3(O)C(=O)C(C)=CC32)C1OC(=O)C=CC=CC=CCCC,D,8,0,D,C40H46O12,possibly known,std_acutilobin C (DA26),[M+H-H2O]+,"30, 62"
63,531.2954,10.5,390000,DA41_wikstroelide F (TDPE-20),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCCCC(C)C6C(C)C(=O)C(O)(C(O)C7(CO)OC7C3C1O5)C64)O2,MD,17,15,MD,C30H42O8,possibly undescribed,none,[M+H]+,none
64,545.2744,10.5,450000,DA43_stelleralide C (TDPE-29),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCCCC(C)C6C3C3(OC6(C)OC3=O)C(O)C3(CO)OC3C4C1O5)O2,MD,8,28,MD,C30H40O9,possibly undescribed,none,[M+H]+,none
65,545.2741,10.7,8600000,DA44_daphnepedunin E (TDPE-28),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCCCC(C)C6C3C3(OC6(C)OC3=O)C(O)C3(CO)OC3C4C1O5)O2,MD,0,6,MD,C30H40O9,possibly undescribed,none,[M+H]+,none
66,547.2899,5.5,2800000,DA45_daphnepedunin D (TDPE-11),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCC(O)CC(C)C6C(C)C(=O)C(O)(C(O)C7(CO)OC7C3C1O5)C64)O2,MD,32,19,MD,C30H42O9,possibly known,"std_pimelotide C (DA33), std_pimelotide A (DA32)",[M+H]+,none
67,615.3157,10.2,4800000,DA46_edgeworthianin F (ECF-7),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C6C7(OC5(C)OC7=O)C(O)C5(CO)OC5C(C1O3)C6(O4)C(COC(=O)C(C)C)C2O,MD,0,6,MD,C34H46O10,possibly undescribed,none,[M+H]+,none
68,643.3461,11,15000000,DA47_edgeworthianin E (ECH-2),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C(C)C(=O)C6(O)C(O)C7(CO)OC7C(C1O3)C(O4)(C(COC(=O)C(C)C)C2OC(C)=O)C56,MD,13,24,MD,C36H50O10,possibly undescribed,none,[M+H]+,none
69,657.3252,11.6,42000000,DA48_edgeworthianin B (ECH-4),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C6C7(OC5(C)OC7=O)C(O)C5(CO)OC5C(C1O3)C6(O4)C(COC(=O)C(C)C)C2OC(C)=O,MD,8,12,MD,C36H48O11,possibly undescribed,none,[M+H]+,none
