Latin,Family,Species,Genus,PlotSampled,ScottyCreek,WindRiver,CedarBreaks,TysonResearchCenter,MichiganBigWoods,SCBI,SERC
Amelanchier_arborea,Rosaceae,AMELAR,AMEL,Michigan,0,0,0,0,1,0,0
Amelanchier_canadensis,Rosaceae,AMELCA,AMEL,SERC,0,0,0,0,0,0,1
Crataegus_sp,Rosaceae,CRATS1,CRAT,SCBI,0,0,0,1,0,1,0
Holodiscus_discolor,Rosaceae,HOLODI,HOLO,Windriver,0,1,0,0,0,0,0
Prunus_americana,Rosaceae,PRUNAM,PRUN,TysonResearch,0,0,0,1,0,0,0
Prunus_avium,Rosaceae,PRUNAV,PRUN,SCBI,0,0,0,0,0,1,1
Prunus_serotina,Rosaceae,PRUNSE,PRUN,SCBI,0,0,0,0,0,1,0
Prunus_serotina,Rosaceae,PRUNSE,PRUN,SERC,0,0,0,0,0,0,1
Prunus_serotina,Rosaceae,PRUNSE,PRUN,TysonResearch,0,0,0,1,0,0,0
Prunus_serotina,Rosaceae,PRUNSE,PRUN,Michigan,0,0,0,0,1,0,0
Prunus_virginiana,Rosaceae,PRUNVI,PRUN,Michigan,0,0,0,0,1,0,0
Rosa_multiflora,Rosaceae,ROSAMU,ROSA,SERC,0,0,0,0,0,0,1
Rosa_multiflora,Rosaceae,ROSAMU,ROSA,SCBI,0,0,0,0,0,1,0
Rubus_allegheniensis,Rosaceae,RUBUAL,RUBU,SCBI,0,0,0,0,0,1,1
Rubus_allegheniensis,Rosaceae,RUBUAL,RUBU,Michigan,0,0,0,0,1,0,0
Rubus_pensilvanicus,Rosaceae,RUBUPE,RUBU,SCBI,0,0,0,0,0,1,1
Rubus_phoenicolasius,Rosaceae,RUBUPH,RUBU,SCBI,0,0,0,0,0,1,0
Rubus_sp,Rosaceae,RUBUS1,RUBU,Windriver,0,1,0,0,0,0,0
Celtis_occidentalis,Cannabaceae,CELTOC,CELT,SCBI,0,0,0,0,0,1,1
Celtis_occidentalis,Cannabaceae,CELTOC,CELT,TysonResearch,0,0,0,1,0,0,0
Celtis_tenuifolia,Cannabaceae,CELTTE,CELT,TysonResearch,0,0,0,1,0,0,0
Cercocarpus_ledifolius,Rosaceae,CERCLE,CERC,CedarBreaks,0,0,1,0,0,0,0
Elaeagnus_angustifolia,Elaeagnaceae,ELAEAN,ELAE,SERC,0,0,0,0,0,0,1
Elaeagnus_umbellata,Elaeagnaceae,ELAEUM,ELAE,SCBI,0,0,0,0,0,1,1
Elaeagnus_umbellata,Elaeagnaceae,ELAEUM,ELAE,Michigan,0,0,0,0,1,0,0
Frangula_caroliniana,Rhamnaceae,FRANCA,FRAN,TysonResearch,0,0,0,1,0,0,0
Morus_rubra,Moraceae,MORURU,MORU,SERC,0,0,0,0,0,0,1
Morus_rubra,Moraceae,MORURU,MORU,TysonResearch,0,0,0,1,0,0,0
Ulmus_americana,Ulmaceae,ULMUAM,ULMU,SCBI,0,0,0,0,0,1,0
Ulmus_americana,Ulmaceae,ULMUAM,ULMU,SERC,0,0,0,0,0,0,1
Ulmus_americana,Ulmaceae,ULMUAM,ULMU,Michigan,0,0,0,0,1,0,0
Ulmus_rubra,Ulmaceae,ULMURU,ULMU,SCBI,0,0,0,0,0,1,1
Ulmus_rubra,Ulmaceae,ULMURU,ULMU,TysonResearch,0,0,0,1,0,0,0
Asimina_triloba,Annonaceae,ASIMTR,ASIM,SCBI,0,0,0,0,0,1,1
