row ID,row m/z,row retention time
925,317.1716954,10.43
925,317.1716954,10.28
926,407.244476,17.59
926,407.244476,17.66
927,409.183369,6.7
928,465.1018472,8.2
928,465.1018472,8.2
929,511.2092634,15.03
929,511.2092634,15.09
930,413.1109503,6.04
930,413.1109503,6.18
931,477.278732,17.85
931,477.278732,17.84
932,393.2969883,17.07
932,393.2969883,17.07
933,991.5598875,16.56
933,991.5598875,16.63
934,475.4482668,19.38
934,475.4482668,19.38
935,398.7613977,18.36
935,398.7613977,18.43
936,513.193821,6.58
936,513.193821,6.58
937,393.2770602,16.28
937,393.2770602,16.37
938,282.2784825,16.2
938,282.2784825,16.29
939,303.0495121,8.14
939,303.0495121,7.89
940,545.1990288,7.95
940,545.1990288,8.07
941,758.5684596,18.26
942,801.4738091,16.5
942,801.4738091,16.5
943,766.5362231,18.17
943,766.5362231,18.17
944,339.1949286,12.01
944,339.1949286,12.01
945,379.1354698,6.26
946,365.1207209,7.05
946,365.1207209,7.05
947,377.2318328,15.2
947,377.2318328,15.2
948,659.2680234,9.7
949,357.2035039,11.94
949,357.2035039,11.52
950,703.4746888,16.46
950,703.4746888,16.46
951,381.1519702,6.47
951,381.1519702,6.59
952,611.4633681,18.35
952,611.4633681,18.48
953,315.1954853,11.58
954,397.3826667,18.88
955,357.203631,11.64
955,357.203631,11.59
956,317.1717277,11.31
956,317.1717277,11.51
957,131.048911,6.32
957,131.048911,6.34
958,387.1791178,10.83
959,505.4582001,19.66
960,302.2455304,15.76
960,302.2455304,15.93
961,459.4161217,18.68
962,271.0598578,5.76
962,271.0598578,5.76
963,419.31476,17.68
964,287.0543798,8.63
964,287.0543798,8.53
965,459.4163224,18.35
966,629.4739402,17.44
966,629.4739402,17.52
967,359.2404531,19.22
968,501.3551487,15.79
968,501.3551487,15.83
969,465.1020334,8.75
969,465.1020334,8.5
970,311.2189995,13.26
970,311.2189995,13.26
971,887.5661196,19.63
971,887.5661196,19.57
972,635.4644698,17.64
