row ID,row m/z,row retention time,20220601_100AGC_pluskal_mce_1D1_A1_id.mzML Peak area,VGF141_H06_pos.mzML Peak area,VGF141_A07_pos.mzML Peak area,VGF141_G06_pos.mzML Peak area,VGF142_A05_pos.mzML Peak area,VGF142_B03_pos.mzML Peak area,ThyW01_500ppm_cent_pos.mzML Peak area,Thy50_01_500ppm_cent_pos.mzML Peak area,ThyE01_500ppm_cent_pos.mzML Peak area,ThyW02_500ppm_cent_pos.mzML Peak area,ThyE02_500ppm_cent_pos.mzML Peak area,Thy50_02_500ppm_cent_pos.mzML Peak area,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak
51985,653.3324765,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156709.67,0.0,0.0,0.0,0.0,17,0,D,C37H48O10,possibly undescribed,(DA19)std_daphneodorin H isomer,[M+H]+,none
52168,649.3010847,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530770.75,0.0,0.0,0.0,0.0,16,0,D,C37H44O10,possibly undescribed,(DA18)std_yuanhuacine isomer,[M+H]+,none
52336,655.3482203,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127004.89,0.0,0.0,0.0,0.0,23,0,D,C37H50O10,possibly known,"genkwanine F, yuanhuakine B, neogenkwanine C, neogenkwanine D, neogenkwanine E, neogenkwanine F, genkwanine B, kraussianin, linimacrin c, wikstroelide X",[M+H]+,none
52460,655.3484774,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145059.48,0.0,0.0,0.0,0.0,23,0,D,C37H50O10,possibly known,"genkwanine F, yuanhuakine B, neogenkwanine C, neogenkwanine D, neogenkwanine E, neogenkwanine F, genkwanine B, kraussianin, linimacrin c, wikstroelide X",[M+H]+,none
52650,635.3218673,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116853.52,0.0,0.0,0.0,0.0,11,0,D,C37H46O9,possibly known,acutilonine F,[M+H]+,none
52712,653.3324973,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47801.562,0.0,0.0,0.0,0.0,13,0,D,C37H48O10,possibly undescribed,(DA19)std_daphneodorin H isomer,[M+H]+,none
52854,465.2997964,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63615.875,104069.52,6,0,D,C30H40O4,possibly undescribed,none,[M+H]+,none
52874,635.3218156,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57034.812,0.0,0.0,0.0,0.0,11,0,D,C37H46O9,possibly known,acutilonine F,[M+H]+,none
53348,637.3375602,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159315.31,0.0,0.0,0.0,0.0,14,0,D,C37H48O9,possibly known,wikstroemia factor M1/M2,[M+H]+,none
53854,637.3375738,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103194.44,0.0,0.0,0.0,0.0,15,0,D,C37H48O9,possibly known,wikstroemia factor M1/M2,[M+H]+,none
