row ID,row m/z,row retention time,20220601_100AGC_pluskal_mce_1D1_A1_id.mzML Peak area,VGF141_H06_pos.mzML Peak area,VGF141_A07_pos.mzML Peak area,VGF141_G06_pos.mzML Peak area,VGF142_A05_pos.mzML Peak area,VGF142_B03_pos.mzML Peak area,ThyW01_500ppm_cent_pos.mzML Peak area,Thy50_01_500ppm_cent_pos.mzML Peak area,ThyE01_500ppm_cent_pos.mzML Peak area,ThyW02_500ppm_cent_pos.mzML Peak area,ThyE02_500ppm_cent_pos.mzML Peak area,Thy50_02_500ppm_cent_pos.mzML Peak area
2612,132.1018995,0.5718297,0,0,0,0,0,0,1176547.9,825822.4,3260620.8,82052.85,0,9467.3955
2613,124.0392608,0.57212186,0,0,0,0,0,0,191867.89,189227.52,132116.95,60495.8,7137.5425,9010.56
2617,140.0342051,0.57236654,0,0,0,0,0,0,371115.8,307537.8,0,13040.222,0,0
2621,247.0788048,0.5725226,0,0,0,0,0,0,12717.514,16348.575,250286.34,0,0,0
2710,153.110371,0.5751764,0,0,0,0,0,0,0,298966.97,0,0,0,0
2743,193.0971478,0.5759735,0,0,0,0,0,0,245822.7,213983.73,16876.441,0,0,0
2794,321.1309348,0.58224225,0,0,0,0,0,0,0,0,0,269182.72,184331.03,142451.58
2808,142.0863567,0.58441055,0,2564.9001,130110.56,0,0,7245.157,13406.658,9896.074,6248.6436,0,0,0
2821,199.1077177,0.58633804,0,0,0,0,0,0,255975.58,219578.28,49721.414,0,0,0
2835,387.9944539,0.5888915,0,0,125474.06,0,0,0,0,0,0,0,0,0
2855,217.1044842,0.5915694,0,35968.883,35060.67,12331.678,114650.44,48906.805,0,0,0,0,0,0
2858,295.0900335,0.5933735,0,0,0,0,0,0,0,0,0,12013.42,23969.31,23051.357
2890,215.1291007,0.6001549,0,0,0,0,0,0,0,0,0,57380.395,0,0
2917,254.1015309,0.60864455,0,0,0,0,0,0,24845.242,19956.402,262980.72,0,0,0
2940,144.0655412,0.6152216,0,0,0,0,0,0,376052.12,433075.25,203674.33,10176.998,0,6143.477
2972,310.1286096,0.62487656,0,0,0,0,0,0,599035.5,420220.53,366290.88,0,0,0
2973,328.1391864,0.62487656,0,0,0,0,0,0,395305.1,285845.62,230324.81,0,0,0
2989,384.1150623,0.63077474,0,0,0,0,0,0,129783.914,109181.39,17806.195,13508.921,0,0
3048,224.0778506,0.6480976,0,0,0,0,0,0,95118.125,65094.285,0,0,0,0
3079,217.0142675,0.6587352,0,1755572.9,1669262.5,0,1499473,1831784.4,0,0,0,0,0,0
3091,121.0840635,0.6626158,0,0,0,0,0,0,0,84135.41,185044.02,0,0,0
3092,186.1236476,0.662673,0,0,0,0,0,0,71118.85,78770.38,7804.0586,0,0,0
3095,209.0920381,0.6646368,0,0,0,0,0,0,79601.27,79703.805,14994.541,0,0,0
