row ID,row m/z,row retention time,CUP_MeOH,PC_MeOH,AFI_MeOH,CUPI_MeOH,CUP_EtOAc,PC_EtOAc,Limonoid Score,type,elemental composition,adduct ion,same peak,CO2 loss,CO2 loss_ion_pair,CO2 loss_intensity_pair,CO2 loss_score,C2 loss,C2 loss_ion_pair,C2 loss_intensity_pair,C2 loss_score,identification,same composition
2160,575.4674,17.7,0,0,0,0,10960.396,206116.75,15,Limonoid,C36H62O5,[M+H]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
682,536.2125,6.4,0,0,0,0,0,43450.562,16,Limonoid,C26H33O11N1,[M+NH4]+,none,CH2O2,C24H26O9 / C23H24O7,13000.0 / 7200.0,0.0642,C2H4O2,C26H30O11 / C24H26O9,4600.0 / 13000.0,0.045,possibly undescribed,none
682,536.2125,6.4,0,0,0,0,0,43450.562,16,Limonoid,C26H33O11N1,[M+NH4]+,none,CH0O2,C24H22O7 / C23H22O9,2300.0 / 2300.0,0.023,C2H4O2,C26H30O11 / C24H26O9,4600.0 / 13000.0,0.045,possibly undescribed,none
811,554.2596,7.1,0,0,0,0,0,130251.695,16,Limonoid,C27H39O11N1,[M+NH4]+,none,CH2O2,C26H32O10 / C25H30O8,39000.0 / 11000.0,0.1179,C2H4O2,C26H32O10 / C24H28O8,39000.0 / 29000.0,0.2627,possibly undescribed,none
923,487.1957,7.9,0,99507.32,10302.998,0,0,1699144.4,16,Limonoid,C26H30O9,[M+H]+,none,CH2O2,C26H30O9 / C25H28O7,200000.0 / 32000.0,0.4738,C2H4O2,C26H30O9 / C24H26O7,200000.0 / 10000.0,0.3737,possibly undescribed,none
445,556.2382,4.8,0,0,0,0,0,213281.34,17,Limonoid,C26H37O12N1,[M+NH4]+,none,CH2O2,C24H28O9 / C23H26O7,12000.0 / 21000.0,0.1068,C2H4O2,C26H32O11 / C24H28O9,10000.0 / 12000.0,0.0931,possibly undescribed,none
618,536.2122,6,0,0,0,0,0,86489.41,18,Limonoid,C26H33O11N1,[M+NH4]+,none,CH2O2,C24H26O9 / C23H24O7,30000.0 / 48000.0,0.2668,C2H4O2,C26H28O10 / C24H24O8,11000.0 / 15000.0,0.0994,possibly undescribed,none
974,501.2114,8.3,0,0,0,0,0,219804.89,18,Limonoid,C27H32O9,[M+H]+,none,CH6O2,C26H30O7 / C25H24O5,14000.0 / 17000.0,0.1299,C2H4O2,C26H32O8 / C24H28O6,29000.0 / 5500.0,0.073,possibly undescribed,none
974,501.2114,8.3,0,0,0,0,0,219804.89,18,Limonoid,C27H32O9,[M+H]+,none,CH2O2,C26H26O7 / C25H24O5,12000.0 / 17000.0,0.1078,C2H4O2,C26H32O8 / C24H28O6,29000.0 / 5500.0,0.073,possibly undescribed,none
860,505.2051,7.5,0,8421.193,5175.3975,0,0,669512,19,Limonoid,C26H32O10,[M+H]+,"860, 869",CH2O2,C24H28O8 / C23H26O6,63000.0 / 31000.0,0.2796,C2H4O2,C26H30O9 / C24H26O7,36000.0 / 58000.0,0.3201,possibly undescribed,none
860,505.2051,7.5,0,8421.193,5175.3975,0,0,669512,19,Limonoid,C26H32O10,[M+H]+,"860, 869",CH6O2,C24H30O7 / C23H24O5,29000.0 / 20000.0,0.1792,C2H4O2,C26H30O9 / C24H26O7,36000.0 / 58000.0,0.3201,possibly undescribed,none
894,501.1748,7.7,0,0,0,0,0,251040.84,19,Limonoid,C26H28O10,[M+H]+,none,CH2O2,C24H24O6 / C23H22O4,14000.0 / 14000.0,0.14,none,none,none,none,possibly undescribed,none
2108,450.3213,17.2,17894.074,0,0,0,83842.586,0,19,Limonoid,C26H43O5N1,[M+NH4]+,none,CH2O2,C24H32O3 / C23H30O1,21000.0 / 20000.0,0.1955,C2H4O2,C26H38O4 / C24H34O2,12000.0 / 5600.0,0.0509,possibly undescribed,none
2108,450.3213,17.2,17894.074,0,0,0,83842.586,0,19,Limonoid,C26H43O5N1,[M+NH4]+,none,CH6O2,C25H36O4 / C24H30O2,12000.0 / 25000.0,0.1087,C2H4O2,C26H38O4 / C24H34O2,12000.0 / 5600.0,0.0509,possibly undescribed,none
2127,573.4513,17.4,0,0,0,0,0,164764.17,19,Limonoid,C36H60O5,[M+H]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
1272,564.2791,10.4,0,0,0,0,1184836.8,0,20,Limonoid,C29H41O10N1,[M+NH4]+,none,CH2O2,C25H26O4 / C24H28O6,10000.0 / 9900.0,0.0985,C2H4O2,C26H28O4 / C24H24O2,6200.0 / 6200.0,0.062,possibly undescribed,none
1272,564.2791,10.4,0,0,0,0,1184836.8,0,20,Limonoid,C29H41O10N1,[M+NH4]+,none,CH0O2,C24H28O6 / C23H28O4,9900.0 / 27000.0,0.0958,C2H4O2,C26H28O4 / C24H24O2,6200.0 / 6200.0,0.062,possibly undescribed,none
966,504.2224,8.2,0,91377.66,0,0,0,2755372.2,21,Limonoid,C26H33O9N1,[M+NH4]+,"966, 969",CH2O2,C26H30O9 / C25H28O7,1800000.0 / 830000.0,7.5677,C2H4O2,C26H30O9 / C24H26O7,1800000.0 / 140000.0,3.5776,possibly undescribed,none
966,504.2224,8.2,0,91377.66,0,0,0,2755372.2,21,Limonoid,C26H33O9N1,[M+NH4]+,"966, 969",CH6O2,C24H24O4 / C23H18O6,330000.0 / 700000.0,2.9969,C2H4O2,C26H30O9 / C24H26O7,1800000.0 / 140000.0,3.5776,possibly undescribed,none
985,534.2341,8.4,0,0,0,0,0,61898.273,22,Limonoid,C27H35O10N1,[M+NH4]+,none,CH2O2,C24H24O7 / C23H22O5,10000.0 / 11000.0,0.0959,C2H4O2,C26H30O8 / C24H26O6,3600.0 / 6500.0,0.0321,possibly undescribed,none
985,534.2341,8.4,0,0,0,0,0,61898.273,22,Limonoid,C27H35O10N1,[M+NH4]+,none,CH6O2,C25H30O9 / C24H24O7,15000.0 / 10000.0,0.0893,C2H4O2,C26H30O8 / C24H26O6,3600.0 / 6500.0,0.0321,possibly undescribed,none
559,570.2538,5.5,0,0,0,0,0,155436.5,23,Limonoid,C27H39O12N1,[M+NH4]+,none,CH10O2,C25H28O8 / C24H18O6,21000.0 / 16000.0,0.1456,C2H4O2,C26H32O9 / C24H28O7,24000.0 / 10000.0,0.0932,possibly undescribed,none
559,570.2538,5.5,0,0,0,0,0,155436.5,23,Limonoid,C27H39O12N1,[M+NH4]+,none,CH2O2,C24H26O8 / C23H28O6,9800.0 / 11000.0,0.0932,C2H4O2,C26H32O9 / C24H28O7,24000.0 / 10000.0,0.0932,possibly undescribed,none
726,568.238,6.6,0,0,0,0,0,68075.71,23,Limonoid,C27H37O12N1,[M+NH4]+,none,CH2O2,C24H26O9 / C23H24O7,11000.0 / 6400.0,0.0569,C2H4O2,C26H28O10 / C24H24O8,9100.0 / 6200.0,0.0555,possibly undescribed,none
898,564.2434,7.7,0,0,121226.56,367192.3,0,0,24,Limonoid,C28H37O11N1,[M+NH4]+,none,CH2O2,C25H26O6 / C24H28O8,16000.0 / 51000.0,0.1638,C2H4O2,C26H24O6 / C24H28O8,13000.0 / 51000.0,0.1463,possibly undescribed,none
1163,501.2117,9.6,0,30757.582,0,0,0,76220.336,24,Limonoid,C27H32O9,[M+H]+,none,CH2O2,C26H28O8 / C25H26O6,8000.0 / 3900.0,0.0352,none,none,none,none,possibly undescribed,none
2022,417.3358,16.5,69934.5,70280.33,78548.516,75564.914,62020.344,60743.152,24,Limonoid,C27H44O3,[M+H]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
805,522.2333,7.1,0,40387.21,0,0,0,111524.95,26,Limonoid,C26H35O10N1,[M+NH4]+,"804, 805",CH2O2,C26H32O10 / C25H30O8,35000.0 / 38000.0,0.3373,C2H4O2,C26H32O10 / C24H28O8,35000.0 / 2800.0,0.0699,possibly undescribed,none
1033,473.2166,8.8,0,0,300336.5,66548.4,0,7620.636,27,Limonoid,C26H32O8,[M+H]+,"1030, 1033",CH2O2,C26H32O8 / C25H30O6,54000.0 / 86000.0,0.4804,C2H4O2,C26H32O8 / C24H28O6,54000.0 / 43000.0,0.3953,possibly undescribed,none
1033,473.2166,8.8,0,0,300336.5,66548.4,0,7620.636,27,Limonoid,C26H32O8,[M+H]+,"1030, 1033",CH0O2,C24H28O6 / C23H28O4,43000.0 / 110000.0,0.4078,C2H4O2,C26H32O8 / C24H28O6,54000.0 / 43000.0,0.3953,possibly undescribed,none
1172,518.2382,9.7,0,0,0,0,0,240056.1,27,Limonoid,C27H35O9N1,[M+NH4]+,"1171, 1172",CH6O2,C26H32O8 / C25H26O6,94000.0 / 21000.0,0.2534,C2H4O2,C26H28O6 / C24H24O8,20000.0 / 20000.0,0.2,possibly undescribed,none
1172,518.2382,9.7,0,0,0,0,0,240056.1,27,Limonoid,C27H35O9N1,[M+NH4]+,"1171, 1172",CH2O2,C25H26O6 / C24H24O8,21000.0 / 20000.0,0.1955,C2H4O2,C26H28O6 / C24H24O8,20000.0 / 20000.0,0.2,possibly undescribed,none
1019,536.2485,8.7,0,0,0,0,0,446349.06,28,Limonoid,C27H37O10N1,[M+NH4]+,"1018, 1019",CH2O2,C24H28O8 / C23H26O6,110000.0 / 60000.0,0.5352,C2H4O2,C26H30O9 / C24H26O7,15000.0 / 150000.0,0.3129,possibly undescribed,none
1019,536.2485,8.7,0,0,0,0,0,446349.06,28,Limonoid,C27H37O10N1,[M+NH4]+,"1018, 1019",CH6O2,C25H30O8 / C24H24O6,40000.0 / 43000.0,0.387,C2H4O2,C26H30O9 / C24H26O7,15000.0 / 150000.0,0.3129,possibly undescribed,none
1285,411.2156,10.5,0,0,0,0,0,164251.78,28,Limonoid,C25H30O5,[M+H-CO2]+,"1285, 1286",CH2O2,C25H30O5 / C24H28O3,40000.0 / 13000.0,0.1313,none,none,none,none,possibly undescribed,none
969,487.1955,8.2,0,0,0,0,0,1999476.4,29,Limonoid,C26H30O9,[M+H]+,"966, 969",CH2O2,C26H30O9 / C25H28O7,520000.0 / 190000.0,1.8398,C2H4O2,C26H28O8 / C24H24O6,130000.0 / 31000.0,0.361,possibly undescribed,none
1030,490.2431,8.8,0,0,212225.75,0,0,0,30,Limonoid,C26H35O8N1,[M+NH4]+,"1030, 1033",CH0O2,C24H28O6 / C23H28O4,57000.0 / 62000.0,0.5489,C2H4O2,C26H32O8 / C24H28O6,29000.0 / 57000.0,0.2604,possibly undescribed,none
1030,490.2431,8.8,0,0,212225.75,0,0,0,30,Limonoid,C26H35O8N1,[M+NH4]+,"1030, 1033",CH2O2,C26H32O8 / C25H30O6,29000.0 / 38000.0,0.2641,C2H4O2,C26H32O8 / C24H28O6,29000.0 / 57000.0,0.2604,possibly undescribed,none
1065,520.2548,9,0,0,0,0,0,102841.19,32,Limonoid,C27H37O9N1,[M+NH4]+,none,CH6O2,C24H24O3 / C23H18O5,23000.0 / 26000.0,0.2183,C2H4O2,C26H32O7 / C24H28O5,13000.0 / 12000.0,0.1157,possibly undescribed,none
1065,520.2548,9,0,0,0,0,0,102841.19,32,Limonoid,C27H37O9N1,[M+NH4]+,none,CH2O2,C26H26O6 / C25H24O4,18000.0 / 26000.0,0.1613,C2H4O2,C26H32O7 / C24H28O5,13000.0 / 12000.0,0.1157,possibly undescribed,none
594,570.2542,5.8,0,0,0,0,7979.456,268780.8,33,Limonoid,C27H39O12N1,[M+NH4]+,none,CH2O2,C24H28O9 / C23H26O7,40000.0 / 30000.0,0.2722,C2H4O2,C26H32O11 / C24H28O9,17000.0 / 40000.0,0.1577,possibly undescribed,none
594,570.2542,5.8,0,0,0,0,7979.456,268780.8,33,Limonoid,C27H39O12N1,[M+NH4]+,none,CH0O2,C24H28O9 / C23H28O7,40000.0 / 6400.0,0.0948,C2H4O2,C26H32O11 / C24H28O9,17000.0 / 40000.0,0.1577,possibly undescribed,none
804,505.2063,7.1,0,22803.129,0,0,0,122791.67,33,Limonoid,C26H32O10,[M+H]+,"804, 805, 822",CH2O2,C26H32O10 / C25H30O8,24000.0 / 14000.0,0.1245,C2H4O2,C26H32O10 / C24H28O8,24000.0 / 9000.0,0.0864,possibly undescribed,none
804,505.2063,7.1,0,22803.129,0,0,0,122791.67,33,Limonoid,C26H32O10,[M+H]+,"804, 805, 822",CH6O2,C24H26O5 / C23H20O7,9600.0 / 11000.0,0.0907,C2H4O2,C26H32O10 / C24H28O8,24000.0 / 9000.0,0.0864,possibly undescribed,none
892,712.3166,7.7,6371.1963,0,12644.291,25695.773,63639.047,0,34,Limonoid,C34H49O15N1,[M+NH4]+,none,CH0O2,C25H28O4 / C24H28O6,9800.0 / 9300.0,0.0907,C2H4O2,C26H30O7 / C24H26O5,5800.0 / 8200.0,0.0521,possibly undescribed,none
