row ID,row m/z,row retention time,CUP_MeOH,PC_MeOH,AFI_MeOH,CUPI_MeOH,CUP_EtOAc,PC_EtOAc,Limonoid Score,type,elemental composition,adduct ion,same peak,CO2 loss,CO2 loss_ion_pair,CO2 loss_intensity_pair,CO2 loss_score,C2 loss,C2 loss_ion_pair,C2 loss_intensity_pair,C2 loss_score,C6 ion,C6 ion_intensity,C6 ion_score,C5 ion,C5 ion_intensity,C5 ion_score,C7 ion,C7 ion_intensity,C7 ion_score,C8 ion,C8 ion_intensity,C8 ion_score,C9 ion,C9 ion_intensity,C9 ion_score,C10 ion,C10 ion_intensity,C10 ion_score,C11 ion,C11 ion_intensity,C11 ion_score,C12 ion,C12 ion_intensity,C12 ion_score,C13 ion,C13 ion_intensity,C13 ion_score,C14 ion,C14 ion_intensity,C14 ion_score,C15 ion,C15 ion_intensity,C15 ion_score,C16 ion,C16 ion_intensity,C16 ion_score,C17 ion,C17 ion_intensity,C17 ion_score,C26 ion,C26 ion_intensity,C26 ion_score,A parts,B parts,C parts,D parts,Annotation Structure
860,505.2051,7.5,0,8421.193,5175.3975,0,0,669512,19,Limonoid,C26H32O10,[M+H]+,"860, 869",CH6O2,C24H30O7 / C23H24O5,29000.0 / 20000.0,0.1792,C2H4O2,C26H30O9 / C24H26O7,36000.0 / 58000.0,0.3201,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,C1,none,none
869,522.2325,7.5,0,0,0,0,0,1177401.1,12,Limonoid,C26H35O10N1,[M+NH4]+,"860, 869",CH2O2,C24H28O8 / C23H26O6,1500000.0 / 270000.0,3.7032,C2H4O2,C26H30O9 / C24H26O7,350000.0 / 860000.0,3.2827,none,none,none,none,none,none,none,none,none,none,none,none,C9H12O2,44000,0.44,none,none,none,none,none,none,C12H12O,43000,0.43,none,none,none,none,none,none,C15H18O,39000,0.39,C16H16O2,28000,0.28,C17H18O2,37000,0.37,none,none,none,A6,none,C1,none,none
969,487.1955,8.2,0,0,0,0,0,1999476.4,29,Limonoid,C26H30O9,[M+H]+,"966, 969",CH2O2,C26H30O9 / C25H28O7,520000.0 / 190000.0,1.8398,C2H4O2,C26H28O8 / C24H24O6,130000.0 / 31000.0,0.361,none,none,none,none,none,none,C7H6O2,43000,0.43,C8H8O,25000,0.25,none,none,none,C10H12O,43000,0.43,none,none,none,C12H12O,29000,0.29,none,none,none,C14H12O,20000,0.2,none,none,none,C16H16O,68000,0.68,C17H16O2,35000,0.35,none,none,none,A1,none,C1,none,none
966,504.2224,8.2,0,91377.66,0,0,0,2755372.2,21,Limonoid,C26H33O9N1,[M+NH4]+,"966, 969",CH2O2,C26H30O9 / C25H28O7,1800000.0 / 830000.0,7.5677,C2H4O2,C26H30O9 / C24H26O7,1800000.0 / 140000.0,3.5776,none,none,none,none,none,none,C7H6O2,180000,1.8,C8H6O2,41000,0.41,C9H12O,63000,0.63,C10H12O,170000,1.7,C11H10O2,83000,0.83,C12H10O2,63000,0.63,C13H14O,51000,0.51,C14H12O,61000,0.61,none,none,none,C16H16O,230000,2.3,C17H16O2,180000,1.8,none,none,none,A5,none,C1,D6,none
966,504.2224,8.2,0,91377.66,0,0,0,2755372.2,21,Limonoid,C26H33O9N1,[M+NH4]+,"966, 969",CH6O2,C24H24O4 / C23H18O6,330000.0 / 700000.0,2.9969,C2H4O2,C26H30O9 / C24H26O7,1800000.0 / 140000.0,3.5776,none,none,none,none,none,none,C7H6O2,180000,1.8,C8H6O2,41000,0.41,C9H12O,63000,0.63,C10H12O,170000,1.7,C11H10O2,83000,0.83,C12H10O2,63000,0.63,C13H14O,51000,0.51,C14H12O,61000,0.61,none,none,none,C16H16O,230000,2.3,C17H16O2,180000,1.8,none,none,none,A5,none,C1,D6,none
1955,417.3358,15.8,101439.98,96969.72,84121.62,101800.01,88842.445,90542.055,14,Limonoid,C27H44O3,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,C7H10O,4600,0.046,C8H12,9000,0.09,C9H14,9400,0.094,C10H14,8300,0.083,C11H12O,1800,0.018,C12H14,6700,0.067,C13H14O,2300,0.023,none,none,none,C15H18O,2200,0.022,C16H18O,3100,0.031,C17H22O2,1800,0.018,none,none,none,A1,none,C1,D6,none
2022,417.3358,16.5,69934.5,70280.33,78548.516,75564.914,62020.344,60743.152,24,Limonoid,C27H44O3,[M+H]+,none,none,none,none,none,none,none,none,none,C6H8O2,3200,0.032,none,none,none,none,none,none,C8H12,9800,0.098,C9H14,7400,0.074,C10H14,4300,0.043,none,none,none,C12H14,4200,0.042,none,none,none,none,none,none,none,none,none,C16H20O2,3600,0.036,none,none,none,none,none,none,A1,none,C1,none,none
2065,417.3678,16.8,197683.97,239471.3,335943.4,182045.44,177618.92,131980.61,12,Limonoid,C23H28O7,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,C7H10O,26000,0.26,C8H12,47000,0.47,C9H12,31000,0.31,C10H14,19000,0.19,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,A1,none,C1,none,none
2100,423.3978,17.2,355420.34,0,0,0,0,0,13,Limonoid,C31H50,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,C8H12,37000,0.37,C9H14,21000,0.21,C10H14,15000,0.15,none,none,none,C12H16,6000,0.06,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,A1,none,C1,none,none
1702,425.2891,13.5,0,0,0,0,75179.53,0,10,Limonoid,C24H40O6,[M+H]+,none,none,none,none,none,none,none,none,none,C6H4O2,7400,0.074,none,none,none,C7H10O,1800,0.018,C8H12,12000,0.12,C9H14,10000,0.1,C10H14,5100,0.051,none,none,none,C12H16,5500,0.055,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,A1,none,C1,D2,none
